Date,Open,High,Low,Close,Volume
2019-08-01,10.0,10.0,10.0,12.08,4446231
2019-08-02,34.301,13.403,34.417,10.0,2046818
2019-08-05,47.225,32.375,39.028,22.777,2642785
2019-08-06,55.724,31.561,50.03,35.308,1310760
2019-08-07,69.85,60.067,72.727,46.412,4223779
2019-08-08,76.727,53.424,69.663,53.965,1924047
2019-08-09,77.441,56.252,72.357,44.752,1270306
2019-08-12,78.328,56.859,73.549,53.69,2112491
2019-08-13,90.375,61.334,59.215,56.282,4835717
2019-08-14,82.081,62.129,79.589,63.35,3189652
2019-08-15,88.447,70.406,84.799,62.971,1963257
2019-08-16,88.322,64.752,77.996,56.409,1803924
2019-08-19,75.06,48.743,64.208,47.444,1467903
2019-08-20,74.019,55.695,68.148,51.776,968049
2019-08-21,78.647,56.337,70.338,50.856,1093365
2019-08-22,75.909,50.968,66.278,47.024,827676
2019-08-23,81.338,64.201,75.295,72.078,3202267
2019-08-26,92.55,71.94,88.662,70.413,1806089
2019-08-27,98.235,76.302,94.125,75.276,1910975
2019-08-28,98.179,78.874,92.841,72.611,1587377
2019-08-29,100.82,80.809,89.353,69.83,2228173
2019-08-30,94.541,67.92,84.481,63.06,1315061
2019-09-03,94.28,79.356,91.333,76.915,2333368
2019-09-04,98.862,85.94,102.913,83.345,1622898
2019-09-05,94.735,75.097,71.596,63.611,3121454
2019-09-06,92.628,71.06,69.944,49.753,2102848
2019-09-09,83.114,58.835,72.977,47.296,1657999
2019-09-10,70.997,50.786,65.406,40.344,1810296
2019-09-11,69.62,49.947,65.243,51.236,900208
2019-09-12,84.199,56.391,71.262,48.225,1883857
2019-09-13,81.732,52.503,60.043,44.521,1969810
2019-09-16,75.417,53.331,64.833,44.721,1003127
2019-09-17,75.388,56.641,74.477,53.527,843102
2019-09-18,77.27,56.013,59.179,41.309,2305262
2019-09-19,75.8,54.322,69.507,50.02,1056401
2019-09-20,79.175,57.797,76.744,56.958,1745285
2019-09-23,87.022,63.8,83.07,61.094,1212410
2019-09-24,83.052,75.065,85.395,68.388,1449736
2019-09-25,94.636,72.695,75.563,52.644,1682541
2019-09-26,80.853,51.448,77.165,55.636,1160396
2019-09-27,63.077,49.351,64.544,45.108,1354742
2019-09-30,63.749,45.379,49.799,35.071,2346053
2019-10-01,50.213,37.048,44.411,41.673,1860548
2019-10-02,74.243,54.094,64.315,43.953,1762971
2019-10-03,72.25,56.025,74.778,53.189,1806733
2019-10-04,72.588,54.873,66.006,52.936,1369711
2019-10-07,69.553,45.959,65.998,42.59,723606
2019-10-08,83.422,56.154,70.359,57.535,1416583
2019-10-09,79.859,55.754,69.475,57.355,878356
2019-10-10,81.068,47.97,63.739,44.229,1233221
2019-10-11,67.389,44.259,55.621,42.129,1594295
2019-10-14,66.857,45.949,67.427,43.001,334508
2019-10-15,62.933,37.888,59.515,36.592,1270470
2019-10-16,65.101,42.391,63.198,40.188,1392930
2019-10-17,65.182,43.173,61.237,39.8,739818
2019-10-18,68.82,42.255,59.745,39.603,805304
2019-10-21,66.773,39.925,55.281,42.106,1135254
2019-10-22,66.913,42.41,60.486,41.489,339202
2019-10-23,71.036,41.145,61.574,45.373,383920
